id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32640764,Cozy and Convenient Hayesville Home,99619504,Connie,,Ward 5,44.98281,-122.96014,Entire home/apt,300,2,65,2021-10-05,1.80,1,219,17,
32887885,"A Warm and Friendly ""Safe Haven"" For Women Only",247427102,Priscilla,,Ward 5,44.98936,-122.96273,Private room,52,7,66,2022-02-05,1.80,2,350,6,
33344083,A Willamette Valley Wine Retreat,138796271,Jeannette,,Ward 3,44.89717,-123.02896,Private room,46,2,34,2021-07-30,0.98,1,305,12,
33528630,The Garage,88052328,Shana,,Ward 1,44.9472,-123.02004,Entire home/apt,81,1,242,2022-03-18,6.88,1,253,86,
33564568,"Private room with movie projector and 27"" computer",11493566,Lars,,Ward 2,44.9359,-123.01263,Private room,49,4,83,2022-01-03,2.32,1,155,8,
33901803,"The Little Blue House
(in central Salem, Oregon)",9817410,Norma,,Ward 1,44.93796,-123.02121,Entire home/apt,113,2,101,2022-03-05,3.34,1,159,47,
34158635,South Salem Spacious Room.,148795009,Evelyn,,Ward 2,44.92031,-123.03653,Private room,40,3,28,2022-02-28,0.82,1,248,9,
34206273,The Orange Door in Keizer,258249548,Jessica,,Ward 5,44.9808,-123.01429,Entire home/apt,184,2,82,2022-03-06,2.48,2,314,35,
34604471,The Studio on Cottage,8255821,Krista,,Ward 1,44.95002,-123.02769,Entire home/apt,69,1,33,2022-03-20,2.92,1,0,33,
34614134,"Quiet, Licensed W. Salem Room for Travelers",261141361,Helen,,Ward 8,44.95061,-123.07971,Private room,30,7,21,2022-01-22,0.61,2,60,12,
36806045,1941 Craftsman in Salem  w/ Private Backyard Patio,276655122,Kathie,,Ward 1,44.94938,-123.00607,Entire home/apt,100,1,41,2020-03-22,1.26,1,50,0,
37040733,"May you Always have ""Sweet Dreams""",247427102,Priscilla,,Ward 5,44.98974,-122.96381,Private room,54,7,20,2022-03-07,0.63,2,358,10,
37157862,Large 2 Bedroom 1 Bath Condo with a Creek View,142420980,Amanda,,Ward 1,44.94732,-123.03173,Entire home/apt,107,1,134,2022-03-16,4.14,7,316,30,
37723906,Large Creek View 2 Bedroom 2 Bath Condo,142420980,Amanda,,Ward 1,44.94644,-123.03278,Entire home/apt,105,1,89,2022-02-20,2.82,7,298,32,
37815385,"Cozy, convenient room in Salem",138914826,Riley,,Ward 1,44.94267,-123.01436,Private room,37,2,110,2021-12-12,3.84,1,0,36,
38976509,The Bunkhouse,183514,Ruth,,Ward 1,44.94348,-123.01219,Entire home/apt,40,7,17,2021-07-18,0.61,1,102,3,
38980158,Charming stay near everything!,104054845,Jennifer,,Ward 2,44.92537,-123.03352,Private room,45,2,18,2022-03-12,0.67,3,0,7,
38981095,"Cozy, close in stay!",104054845,Jennifer,,Ward 2,44.92628,-123.03406,Private room,45,2,21,2021-08-01,0.80,3,0,10,
39128949,Mid-Century-Modern w/Views The Mulberry House,283063,Robert,,Ward 7,44.91163,-123.06115,Entire home/apt,232,4,24,2021-11-15,0.86,2,59,15,
39487339,Spacious New Family Home Oregon 3D Art View House,67222384,Sue,,Ward 5,44.99428,-122.98623,Entire home/apt,264,4,8,2022-02-17,0.28,3,241,3,
39736719,Mulberry Drive - Sunlight home with valley views.,283063,Robert,,Ward 7,44.91275,-123.06237,Entire home/apt,75,5,0,,,2,0,0,
39969910,"Quiet Updated Duplex, Great Location",20726798,Judy,,Ward 2,44.92886,-123.04466,Entire home/apt,113,2,45,2022-03-13,1.74,1,252,27,
40070743,Friends &  Family Peaceful  Palace Home,143942772,Tim / Lisa,,Ward 5,44.9628,-123.01897,Entire home/apt,134,2,52,2022-03-22,1.85,1,229,27,
40354562,Flamingo Flats,311918313,Monika,,Ward 5,44.99265,-122.95847,Private room,55,2,19,2021-12-10,0.68,1,169,14,
40861468,Bombshell basement,27758890,Cassi,,Ward 7,44.91749,-123.0542,Entire home/apt,120,1,11,2021-12-28,0.42,1,208,7,
41338909,Englewood Loft,58210782,Heather,,Ward 1,44.94443,-123.01453,Entire home/apt,85,4,52,2022-03-19,2.00,1,36,24,
42243993,LARGE Upstairs 2 Bed 2 Bath condo Creek View!,142420980,Amanda,,Ward 1,44.94576,-123.03004,Entire home/apt,107,1,129,2022-03-18,5.43,7,279,73,
42472856,Quaint room in Bush Park classic,104054845,Jennifer,,Ward 2,44.92469,-123.03397,Private room,45,2,21,2021-11-12,1.61,3,1,20,
42796228,SPRING SPECIAL DSCNT/ Firepit + 4 HDTV’s,4923044,Matthew,,Ward 5,44.95474,-122.99237,Entire home/apt,216,2,45,2022-02-26,1.84,1,94,20,
42817285,Salem's R & R Home. “Great for Traveling workers!”,341037787,Joanie,,Ward 2,44.93016,-123.01796,Entire home/apt,150,30,25,2021-09-29,1.22,1,293,16,
42818351,Luxurious modern retreat in Downtown w/ pool,22810342,Michael,,Ward 1,44.94834,-123.02337,Entire home/apt,99,1,22,2022-03-09,0.90,1,284,13,
43402510,"Quiet, comfy, licensed West Salem room to stay.",261141361,Helen,,Ward 8,44.94949,-123.08107,Private room,38,4,4,2021-12-02,0.18,2,352,1,
43582845,Bright 1-Bedroom Cottage in West Salem's Downtown,97331039,Brandon,,Ward 1,44.94436,-123.05633,Entire home/apt,99,1,6,2022-03-13,5.62,1,129,6,
43739946,"Tara's one bedroom, private entry in Cottage Home",7077451,Tara,,Ward 2,44.93958,-123.01201,Private room,50,1,40,2022-02-21,1.90,1,9,24,
44954576,Spacious Bright Townhome in Heart of Wine Country,76662611,Jennifer,,Ward 4,44.86902,-123.01757,Entire home/apt,130,1,47,2022-03-19,2.47,1,86,34,
45791126,Spacious gem + AC,78391796,Faith,,Ward 3,44.88678,-123.01629,Entire home/apt,178,3,71,2022-03-18,4.08,1,84,49,
46030321,"Tiny trailer, smaller than it looks.",126369803,Eric,,Ward 1,44.9447,-123.00881,Entire home/apt,40,1,0,,,1,0,0,
46299140,"Lovely Master bedroom, bathroom, 2nd room/office",3705464,Andrea,,Ward 7,44.91709,-123.05207,Private room,39,30,5,2021-12-15,0.34,1,182,2,
46883743,"Close to I-5 and Costco, easy to Shop and Eat",378740541,Ashley,,Ward 4,44.88341,-123.00552,Entire home/apt,223,1,35,2022-02-21,2.32,1,321,28,
46898377,Very Large Private Unit in Historic Downtown Salem,378870814,Steeves,,Ward 1,44.93511,-123.01943,Private room,172,7,5,2022-01-23,0.49,3,180,5,
47091813,Lower Apartment in Historic District Near Hospital,51012505,Amanda,,Ward 1,44.93876,-123.02266,Entire home/apt,86,30,15,2022-01-31,1.00,4,90,14,
47185169,Fully-Furnished Sunny Guesthouse,381131161,Tressa,,Ward 7,44.92908,-123.04719,Entire home/apt,62,1,59,2022-03-18,3.89,1,31,49,
